INFO:root:episode:3200 e_greed:0.17412799999997414 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [2, 7], [1, 6], [3, 3], [0, 5], [0, 1]]
INFO:root:episode:3250 e_greed:0.17372799999997374 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [2, 2], [1, 6], [3, 3], [0, 5], [0, 1]]
INFO:root:episode:3300 e_greed:0.17332799999997334 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3350 e_greed:0.17292799999997294 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3400 e_greed:0.17252799999997254 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3450 e_greed:0.17212799999997214 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [2, 2], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:3500 e_greed:0.17172799999997174 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [2, 2], [0, 5], [0, 1]]
INFO:root:episode:3550 e_greed:0.17132799999997134 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [2, 2], [0, 5], [0, 1]]
INFO:root:episode:3600 e_greed:0.17092799999997094 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [0, 1]]
INFO:root:episode:3650 e_greed:0.17052799999997054 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [0, 1]]
INFO:root:episode:3700 e_greed:0.17012799999997014 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [0, 1]]
INFO:root:episode:3750 e_greed:0.16972799999996974 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [0, 1]]
INFO:root:episode:3800 e_greed:0.16932799999996934 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:3850 e_greed:0.16892799999996894 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:3900 e_greed:0.16852799999996854 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:3950 e_greed:0.16812799999996814 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4000 e_greed:0.16772799999996774 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4050 e_greed:0.16732799999996734 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4100 e_greed:0.16692799999996694 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4150 e_greed:0.16652799999996654 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4200 e_greed:0.16612799999996614 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
