INFO:root:episode:25  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:25  step:2 Cost:27.071005917159763 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[3, 0]
INFO:root:episode:25  step:3 Cost:38.80670611439842 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[3, 2]
INFO:root:episode:25  step:4 Cost:54.7707100591716 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:25  step:5 Cost:53.43934911242604 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[4, 4]
INFO:root:episode:25  step:6 Cost:58.39497041420118 min Cost:36.72337278106509 Reward:-216.71597633136093 全局reward:0 Action:[3, 3]
INFO:root:episode:26  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:26  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:26  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:26  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:26  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:26  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:27  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:27  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 2]
INFO:root:episode:27  step:3 Cost:30.473372781065088 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[4, 0]
INFO:root:episode:27  step:4 Cost:54.7707100591716 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:27  step:5 Cost:48.434418145956606 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 3]
INFO:root:episode:27  step:6 Cost:45.05670611439842 min Cost:36.72337278106509 Reward:-83.33333333333336 全局reward:0 Action:[0, 4]
INFO:root:episode:28  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:28  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:28  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:28  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[2, 4]
INFO:root:episode:28  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[4, 0]
INFO:root:episode:28  step:6 Cost:49.22337278106508 min Cost:36.72337278106509 Reward:-124.99999999999993 全局reward:0 Action:[1, 5]
INFO:root:episode:29  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:29  step:2 Cost:17.89940828402367 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:29  step:3 Cost:26.30670611439842 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[3, 2]
INFO:root:episode:29  step:4 Cost:42.2707100591716 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:29  step:5 Cost:43.79930966469428 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 4]
INFO:root:episode:29  step:6 Cost:45.42652859960552 min Cost:36.72337278106509 Reward:-87.03155818540431 全局reward:0 Action:[3, 3]
INFO:root:episode:30  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:30  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:30  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:30  step:4 Cost:38.04240631163708 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[4, 4]
INFO:root:episode:30  step:5 Cost:51.627218934911234 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 5]
INFO:root:episode:30  step:6 Cost:49.59319526627218 min Cost:36.72337278106509 Reward:-128.69822485207095 全局reward:0 Action:[3, 0]
INFO:root:episode:31  step:1 Cost:1.4792899408284024 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[4, 4]
INFO:root:episode:31  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[0, 1]
INFO:root:episode:31  step:3 Cost:55.47337278106509 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:31  step:4 Cost:54.807692307692314 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[3, 3]
INFO:root:episode:31  step:5 Cost:53.40236686390533 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:31  step:6 Cost:51.36834319526628 min Cost:36.72337278106509 Reward:-146.4497041420119 全局reward:0 Action:[2, 0]
INFO:root:episode:32  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:32  step:2 Cost:35.55226824457594 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[2, 2]
INFO:root:episode:32  step:3 Cost:35.478303747534525 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[4, 5]
INFO:root:episode:32  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[1, 4]
INFO:root:episode:32  step:5 Cost:52.8353057199211 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 3]
INFO:root:episode:32  step:6 Cost:54.12968441814595 min Cost:36.72337278106509 Reward:-174.06311637080861 全局reward:0 Action:[2, 0]
INFO:root:episode:33  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:33  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:33  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:33  step:4 Cost:51.010848126232744 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[3, 5]
INFO:root:episode:33  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[3, 4]
INFO:root:episode:33  step:6 Cost:42.56656804733727 min Cost:36.72337278106509 Reward:-58.43195266272183 全局reward:0 Action:[2, 0]
INFO:root:episode:34  step:1 Cost:13.979289940828401 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:34  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[3, 3]
INFO:root:episode:34  step:3 Cost:43.417159763313606 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 4]
