INFO:root:episode:1120 e_greed:0.19126999999999128 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1130 e_greed:0.19120999999999122 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1140 e_greed:0.19114999999999116 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1150 e_greed:0.1910899999999911 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1160 e_greed:0.19102999999999104 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [0, 2], [1, 0]]
INFO:root:episode:1170 e_greed:0.19096999999999098 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1180 e_greed:0.19090999999999092 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1190 e_greed:0.19084999999999086 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1200 e_greed:0.1907899999999908 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1210 e_greed:0.19072999999999074 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1220 e_greed:0.19066999999999068 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1230 e_greed:0.19060999999999062 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1240 e_greed:0.19054999999999056 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1250 e_greed:0.1904899999999905 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1260 e_greed:0.19042999999999044 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1270 e_greed:0.19036999999999038 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1280 e_greed:0.19030999999999032 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1290 e_greed:0.19024999999999026 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1300 e_greed:0.1901899999999902 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1310 e_greed:0.19012999999999014 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1320 e_greed:0.19006999999999008 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1330 e_greed:0.19000999999999002 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1340 e_greed:0.18994999999998996 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
INFO:root:episode:1350 e_greed:0.1898899999999899 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 1], [1, 0], [0, 2]]
